country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
COG,≥ 10 total,cum case,2,1.5,0,0,NA,NA,0.4,0.4,NA,NA,NA,NA
LBR,≥ 10 total,cum case,2,17.3,0.1,0,NA,NA,0.4,0.8,NA,NA,NA,NA
MLI,≥ 10 total,cum case,2,8.4,0,0,NA,NA,0.4,0.6,NA,NA,NA,NA
MRT,≥ 10 total,cum case,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NAM,≥ 10 total,cum case,2,26,0.5,0,NA,NA,0.4,0.4,NA,NA,NA,NA
RWA,≥ 10 total,cum case,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
TGO,≥ 10 total,cum case,2,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZMB,≥ 10 total,cum case,2,14.7,0.1,0,NA,NA,-0.6,-0.6,NA,NA,NA,NA
ZWE,≥ 10 total,cum case,2,45.2,0.6,0,0,0,-0.5,-0.6,NA,0.3,1.6,NA
AGO,≥ 25 total,cum case,3,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
BEN,≥ 25 total,cum case,3,15.5,0.2,0,0,3,-0.3,-0.4,NA,0.6,0.5,NA
CIV,≥ 25 total,cum case,3,49.5,0.4,0,NA,NA,0.8,0.8,NA,NA,NA,NA
COG,≥ 25 total,cum case,3,3,0,0,NA,NA,1.8,1.8,NA,NA,NA,NA
MLI,≥ 25 total,cum case,3,9.5,0,0,NA,NA,0.7,0.7,NA,NA,NA,NA
MRT,≥ 25 total,cum case,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NAM,≥ 25 total,cum case,3,15,0.3,0,NA,NA,-1.4,-1.4,NA,NA,NA,NA
RWA,≥ 25 total,cum case,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
TGO,≥ 25 total,cum case,3,0,0,0,NA,NA,-0.4,-0.4,NA,NA,NA,NA
ZMB,≥ 25 total,cum case,3,44,0.2,0,NA,NA,1.4,1.4,NA,NA,NA,NA
ZWE,≥ 25 total,cum case,3,56.9,0.8,0,0,0,0.2,-0,NA,0.3,1.6,NA
BEN,≥ 50 total,cum case,4,15.5,0.2,0,0,4,-0.3,-0.3,NA,0.6,-0.3,NA
CIV,≥ 50 total,cum case,4,13,0.1,0,NA,NA,-0.8,-0.9,NA,NA,NA,NA
MLI,≥ 50 total,cum case,4,11,0,0,NA,NA,0.9,0.6,NA,NA,NA,NA
ZMB,≥ 50 total,cum case,4,44,0.2,0,NA,NA,1.4,1.4,NA,NA,NA,NA
ZWE,≥ 50 total,cum case,4,79.6,1.1,0,0,0,1.5,1,NA,0.3,1.6,NA
BEN,≥ 100 total,cum case,5,19.7,0.3,0,0,5,0.1,-0.1,NA,0.6,-1.1,NA
CIV,≥ 100 total,cum case,5,4,0,0,NA,NA,-1.2,-1.4,NA,NA,NA,NA
MLI,≥ 100 total,cum case,5,11,0,0,NA,NA,0.9,0.5,NA,NA,NA,NA
ZWE,≥ 100 total,cum case,5,94.5,1.4,0,0,0,2.3,1.8,NA,0.3,1.6,NA
TZA,≥ 500 total,cum case,6,90,0.3,0,1,NA,-0.8,-1,-1.1,-1.5,NA,NA
ZWE,≥ 500 total,cum case,6,81,1.4,0,0,2,1.6,2,NA,0.3,-0.7,NA
