country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
COG,≥ 1 per 10K,rate,3,67.2,2.1,0,NA,NA,-0.3,-0.4,NA,NA,NA,NA
MWI,≥ 1 per 10K,rate,3,1,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
SOM,≥ 1 per 10K,rate,3,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
TZA,≥ 1 per 10K,rate,3,1,0,0,NA,NA,0.1,0.1,NA,NA,NA,NA
UGA,≥ 1 per 10K,rate,3,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ 1 per 10K,rate,3,43,2.7,0,NA,NA,-1.1,-1.1,NA,NA,NA,NA
BEN,≥ 1.5 per 10K,rate,4,1,0,0,NA,NA,1.4,1.4,NA,NA,NA,NA
CAF,≥ 1.5 per 10K,rate,4,21,0.8,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
COG,≥ 1.5 per 10K,rate,4,89.7,2.8,0,NA,NA,0.5,0.4,NA,NA,NA,NA
MWI,≥ 1.5 per 10K,rate,4,1,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
SOM,≥ 1.5 per 10K,rate,4,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
TZA,≥ 1.5 per 10K,rate,4,1,0,0,NA,NA,0.1,0.1,NA,NA,NA,NA
UGA,≥ 1.5 per 10K,rate,4,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ 1.5 per 10K,rate,4,42.5,2.7,0,NA,NA,-1.1,-1.1,NA,NA,NA,NA
CAF,≥ 2.5 per 10K,rate,5,21,0.8,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
COG,≥ 2.5 per 10K,rate,5,108,3.4,0,NA,NA,1.2,1.1,NA,NA,NA,NA
MWI,≥ 2.5 per 10K,rate,5,1,0,0,NA,NA,-0.5,-0.5,NA,NA,NA,NA
SOM,≥ 2.5 per 10K,rate,5,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
TZA,≥ 2.5 per 10K,rate,5,0,0,0,NA,NA,-1.6,-1.6,NA,NA,NA,NA
UGA,≥ 2.5 per 10K,rate,5,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
ZWE,≥ 2.5 per 10K,rate,5,83,5.1,0,NA,NA,-0,-0,NA,NA,NA,NA
CAF,≥ 5 per 10K,rate,6,21,0.8,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
COG,≥ 5 per 10K,rate,6,54,1.7,0,NA,NA,-0.8,-0.8,NA,NA,NA,NA
SOM,≥ 5 per 10K,rate,6,0,0,0,NA,NA,-0.7,-0.7,NA,NA,NA,NA
TZA,≥ 5 per 10K,rate,6,0,0,0,NA,NA,-1.6,-1.6,NA,NA,NA,NA
