country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
TZA,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-1.6,NA,NA
ZMB,≥ 2.5 per 10K,rate,5,NA,NA,NA,1,NA,NA,NA,NA,-2.6,NA,NA
CMR,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COD,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COG,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
ETH,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.6,NA,NA
GHA,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
GIN,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-2.5,NA,NA
KEN,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
MOZ,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
SDN,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
SSD,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
TCD,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-2.7,NA,NA
TZA,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-1.6,NA,NA
ZMB,≥ 5 per 10K,rate,6,NA,NA,NA,1,NA,NA,NA,NA,-2.6,NA,NA
CMR,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COD,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
COG,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.3,NA,NA
ETH,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.6,NA,NA
GHA,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.8,NA,NA
GIN,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-2.5,NA,NA
KEN,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
MOZ,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
MWI,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-2.9,NA,NA
NER,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.9,NA,NA
SDN,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.5,NA,NA
SSD,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-2.3,NA,NA
TCD,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-2.7,NA,NA
TZA,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.6,NA,NA
UGA,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-1.4,NA,NA
ZMB,≥ 7.5 per 10K,rate,7,NA,NA,NA,1,NA,NA,NA,NA,-2.6,NA,NA
